,Date,Host,Result,Guest,Status,Season
62,12.07.2020,Parma,2 : 2,Bologna,Завершен,italy-serie-a-2019-2020
63,12.07.2020,Fiorentina,1 : 1,Hellas Verona,Завершен,italy-serie-a-2019-2020
64,12.07.2020,Cagliari,0 : 0,Lecce,Завершен,italy-serie-a-2019-2020
65,12.07.2020,Udinese,1 : 3,Sampdoria,Завершен,italy-serie-a-2019-2020
66,12.07.2020,Genoa,2 : 0,SPAL,Завершен,italy-serie-a-2019-2020
67,11.07.2020,Juventus,2 : 2,Atalanta,Завершен,italy-serie-a-2019-2020
68,11.07.2020,Brescia,0 : 3,Roma,Завершен,italy-serie-a-2019-2020
69,11.07.2020,Lazio,1 : 2,Sassuolo,Завершен,italy-serie-a-2019-2020
70,09.07.2020,Hellas Verona,2 : 2,Inter,Завершен,italy-serie-a-2019-2020
71,09.07.2020,SPAL,0 : 3,Udinese,Завершен,italy-serie-a-2019-2020
72,08.07.2020,Torino,3 : 1,Brescia,Завершен,italy-serie-a-2019-2020
73,08.07.2020,Roma,2 : 1,Parma,Завершен,italy-serie-a-2019-2020
74,08.07.2020,Atalanta,2 : 0,Sampdoria,Завершен,italy-serie-a-2019-2020
75,08.07.2020,Bologna,1 : 2,Sassuolo,Завершен,italy-serie-a-2019-2020
76,08.07.2020,Fiorentina,0 : 0,Cagliari,Завершен,italy-serie-a-2019-2020
77,08.07.2020,Genoa,1 : 2,Napoli,Завершен,italy-serie-a-2019-2020
78,07.07.2020,Milan,4 : 2,Juventus,Завершен,italy-serie-a-2019-2020
79,07.07.2020,Lecce,2 : 1,Lazio,Завершен,italy-serie-a-2019-2020
80,05.07.2020,Napoli,2 : 1,Roma,Завершен,italy-serie-a-2019-2020
81,05.07.2020,Cagliari,0 : 1,Atalanta,Завершен,italy-serie-a-2019-2020
82,05.07.2020,Parma,1 : 2,Fiorentina,Завершен,italy-serie-a-2019-2020
83,05.07.2020,Udinese,2 : 2,Genoa,Завершен,italy-serie-a-2019-2020
84,05.07.2020,Brescia,2 : 0,Hellas Verona,Завершен,italy-serie-a-2019-2020
85,05.07.2020,Sampdoria,3 : 0,SPAL,Завершен,italy-serie-a-2019-2020
86,05.07.2020,Inter,1 : 2,Bologna,Завершен,italy-serie-a-2019-2020
87,04.07.2020,Lazio,0 : 3,Milan,Завершен,italy-serie-a-2019-2020
88,04.07.2020,Sassuolo,4 : 2,Lecce,Завершен,italy-serie-a-2019-2020
89,04.07.2020,Juventus,4 : 1,Torino,Завершен,italy-serie-a-2019-2020
90,02.07.2020,Roma,0 : 2,Udinese,Завершен,italy-serie-a-2019-2020
91,02.07.2020,Atalanta,2 : 0,Napoli,Завершен,italy-serie-a-2019-2020
92,01.07.2020,SPAL,2 : 2,Milan,Завершен,italy-serie-a-2019-2020
93,01.07.2020,Hellas Verona,3 : 2,Parma,Завершен,italy-serie-a-2019-2020
94,01.07.2020,Lecce,1 : 2,Sampdoria,Завершен,italy-serie-a-2019-2020
95,01.07.2020,Fiorentina,1 : 3,Sassuolo,Завершен,italy-serie-a-2019-2020
96,01.07.2020,Inter,6 : 0,Brescia,Завершен,italy-serie-a-2019-2020
97,01.07.2020,Bologna,1 : 1,Cagliari,Завершен,italy-serie-a-2019-2020
98,30.06.2020,Genoa,1 : 3,Juventus,Завершен,italy-serie-a-2019-2020
99,30.06.2020,Torino,1 : 2,Lazio,Завершен,italy-serie-a-2019-2020
100,28.06.2020,Parma,1 : 2,Inter,Завершен,italy-serie-a-2019-2020
101,28.06.2020,Udinese,2 : 3,Atalanta,Завершен,italy-serie-a-2019-2020
102,28.06.2020,Sampdoria,1 : 2,Bologna,Завершен,italy-serie-a-2019-2020
103,28.06.2020,Sassuolo,3 : 3,Hellas Verona,Завершен,italy-serie-a-2019-2020
104,28.06.2020,Napoli,3 : 1,SPAL,Завершен,italy-serie-a-2019-2020
105,28.06.2020,Milan,2 : 0,Roma,Завершен,italy-serie-a-2019-2020
106,27.06.2020,Lazio,2 : 1,Fiorentina,Завершен,italy-serie-a-2019-2020
107,27.06.2020,Cagliari,4 : 2,Torino,Завершен,italy-serie-a-2019-2020
108,27.06.2020,Brescia,2 : 2,Genoa,Завершен,italy-serie-a-2019-2020
109,26.06.2020,Juventus,4 : 0,Lecce,Завершен,italy-serie-a-2019-2020
110,24.06.2020,Atalanta,3 : 2,Lazio,Завершен,italy-serie-a-2019-2020
111,24.06.2020,Roma,2 : 1,Sampdoria,Завершен,italy-serie-a-2019-2020
112,24.06.2020,Inter,3 : 3,Sassuolo,Завершен,italy-serie-a-2019-2020
113,23.06.2020,Genoa,1 : 4,Parma,Завершен,italy-serie-a-2019-2020
114,23.06.2020,Torino,1 : 0,Udinese,Завершен,italy-serie-a-2019-2020
115,23.06.2020,SPAL,0 : 1,Cagliari,Завершен,italy-serie-a-2019-2020
116,23.06.2020,Hellas Verona,0 : 2,Napoli,Завершен,italy-serie-a-2019-2020
117,22.06.2020,Bologna,0 : 2,Juventus,Завершен,italy-serie-a-2019-2020
118,22.06.2020,Fiorentina,1 : 1,Brescia,Завершен,italy-serie-a-2019-2020
119,22.06.2020,Lecce,1 : 4,Milan,Завершен,italy-serie-a-2019-2020
120,09.03.2020,Sassuolo,3 : 0,Brescia,Завершен,italy-serie-a-2019-2020
121,08.03.2020,Juventus,2 : 0,Inter,Завершен,italy-serie-a-2019-2020
122,08.03.2020,Udinese,0 : 0,Fiorentina,Завершен,italy-serie-a-2019-2020
123,08.03.2020,Milan,1 : 2,Genoa,Завершен,italy-serie-a-2019-2020
124,08.03.2020,Sampdoria,2 : 1,Hellas Verona,Завершен,italy-serie-a-2019-2020
125,08.03.2020,Parma,0 : 1,SPAL,Завершен,italy-serie-a-2019-2020
126,01.03.2020,Cagliari,3 : 4,Roma,Завершен,italy-serie-a-2019-2020
127,01.03.2020,Lecce,2 : 7,Atalanta,Завершен,italy-serie-a-2019-2020
128,29.02.2020,Napoli,2 : 1,Torino,Завершен,italy-serie-a-2019-2020
129,29.02.2020,Lazio,2 : 0,Bologna,Завершен,italy-serie-a-2019-2020
130,21.06.2020,Inter,2 : 1,Sampdoria,Завершен,italy-serie-a-2019-2020
131,21.06.2020,Atalanta,4 : 1,Sassuolo,Завершен,italy-serie-a-2019-2020
132,20.06.2020,Hellas Verona,2 : 1,Cagliari,Завершен,italy-serie-a-2019-2020
133,20.06.2020,Torino,1 : 1,Parma,Завершен,italy-serie-a-2019-2020
134,23.02.2020,Roma,4 : 0,Lecce,Завершен,italy-serie-a-2019-2020
135,23.02.2020,Genoa,2 : 3,Lazio,Завершен,italy-serie-a-2019-2020
136,22.02.2020,Fiorentina,1 : 1,Milan,Завершен,italy-serie-a-2019-2020
137,22.02.2020,SPAL,1 : 2,Juventus,Завершен,italy-serie-a-2019-2020
138,22.02.2020,Bologna,1 : 1,Udinese,Завершен,italy-serie-a-2019-2020
139,21.02.2020,Brescia,1 : 2,Napoli,Завершен,italy-serie-a-2019-2020
140,17.02.2020,Milan,1 : 0,Torino,Завершен,italy-serie-a-2019-2020
141,16.02.2020,Lazio,2 : 1,Inter,Завершен,italy-serie-a-2019-2020
142,16.02.2020,Cagliari,0 : 1,Napoli,Завершен,italy-serie-a-2019-2020
143,16.02.2020,Juventus,2 : 0,Brescia,Завершен,italy-serie-a-2019-2020
144,16.02.2020,Sampdoria,1 : 5,Fiorentina,Завершен,italy-serie-a-2019-2020
145,16.02.2020,Sassuolo,0 : 1,Parma,Завершен,italy-serie-a-2019-2020
146,16.02.2020,Udinese,0 : 0,Hellas Verona,Завершен,italy-serie-a-2019-2020
147,15.02.2020,Atalanta,2 : 1,Roma,Завершен,italy-serie-a-2019-2020
148,15.02.2020,Bologna,0 : 3,Genoa,Завершен,italy-serie-a-2019-2020
149,15.02.2020,Lecce,2 : 1,SPAL,Завершен,italy-serie-a-2019-2020
150,09.02.2020,Inter,4 : 2,Milan,Завершен,italy-serie-a-2019-2020
151,09.02.2020,Parma,0 : 1,Lazio,Завершен,italy-serie-a-2019-2020
152,09.02.2020,Genoa,1 : 0,Cagliari,Завершен,italy-serie-a-2019-2020
153,09.02.2020,Napoli,2 : 3,Lecce,Завершен,italy-serie-a-2019-2020
154,09.02.2020,Brescia,1 : 1,Udinese,Завершен,italy-serie-a-2019-2020
155,09.02.2020,SPAL,1 : 2,Sassuolo,Завершен,italy-serie-a-2019-2020
156,08.02.2020,Hellas Verona,2 : 1,Juventus,Завершен,italy-serie-a-2019-2020
157,08.02.2020,Torino,1 : 3,Sampdoria,Завершен,italy-serie-a-2019-2020
