,Date,Host,Result,Guest,Status,Season
311,06.10.2019,Inter,1 : 2,Juventus,Завершен,italy-serie-a-2019-2020
312,06.10.2019,Torino,0 : 0,Napoli,Завершен,italy-serie-a-2019-2020
313,06.10.2019,Atalanta,3 : 1,Lecce,Завершен,italy-serie-a-2019-2020
314,06.10.2019,Bologna,2 : 2,Lazio,Завершен,italy-serie-a-2019-2020
315,06.10.2019,Roma,1 : 1,Cagliari,Завершен,italy-serie-a-2019-2020
316,06.10.2019,Fiorentina,1 : 0,Udinese,Завершен,italy-serie-a-2019-2020
317,05.10.2019,Genoa,1 : 2,Milan,Завершен,italy-serie-a-2019-2020
318,05.10.2019,Hellas Verona,2 : 0,Sampdoria,Завершен,italy-serie-a-2019-2020
319,05.10.2019,SPAL,1 : 0,Parma,Завершен,italy-serie-a-2019-2020
320,30.09.2019,Parma,3 : 2,Torino,Завершен,italy-serie-a-2019-2020
321,29.09.2019,Milan,1 : 3,Fiorentina,Завершен,italy-serie-a-2019-2020
322,29.09.2019,Cagliari,1 : 1,Hellas Verona,Завершен,italy-serie-a-2019-2020
323,29.09.2019,Lazio,4 : 0,Genoa,Завершен,italy-serie-a-2019-2020
324,29.09.2019,Lecce,0 : 1,Roma,Завершен,italy-serie-a-2019-2020
325,29.09.2019,Udinese,1 : 0,Bologna,Завершен,italy-serie-a-2019-2020
326,29.09.2019,Napoli,2 : 1,Brescia,Завершен,italy-serie-a-2019-2020
327,28.09.2019,Sassuolo,1 : 4,Atalanta,Завершен,italy-serie-a-2019-2020
328,28.09.2019,Sampdoria,1 : 3,Inter,Завершен,italy-serie-a-2019-2020
329,28.09.2019,Juventus,2 : 0,SPAL,Завершен,italy-serie-a-2019-2020
330,26.09.2019,Torino,2 : 1,Milan,Завершен,italy-serie-a-2019-2020
331,25.09.2019,Fiorentina,2 : 1,Sampdoria,Завершен,italy-serie-a-2019-2020
332,25.09.2019,Genoa,0 : 0,Bologna,Завершен,italy-serie-a-2019-2020
333,25.09.2019,Inter,1 : 0,Lazio,Завершен,italy-serie-a-2019-2020
334,25.09.2019,Napoli,0 : 1,Cagliari,Завершен,italy-serie-a-2019-2020
335,25.09.2019,Parma,1 : 0,Sassuolo,Завершен,italy-serie-a-2019-2020
336,25.09.2019,SPAL,1 : 3,Lecce,Завершен,italy-serie-a-2019-2020
337,25.09.2019,Roma,0 : 2,Atalanta,Завершен,italy-serie-a-2019-2020
338,24.09.2019,Brescia,1 : 2,Juventus,Завершен,italy-serie-a-2019-2020
339,24.09.2019,Hellas Verona,0 : 0,Udinese,Завершен,italy-serie-a-2019-2020
340,22.09.2019,Lazio,2 : 0,Parma,Завершен,italy-serie-a-2019-2020
341,22.09.2019,Atalanta,2 : 2,Fiorentina,Завершен,italy-serie-a-2019-2020
342,22.09.2019,Bologna,1 : 2,Roma,Завершен,italy-serie-a-2019-2020
343,22.09.2019,Lecce,1 : 4,Napoli,Завершен,italy-serie-a-2019-2020
344,22.09.2019,Sampdoria,1 : 0,Torino,Завершен,italy-serie-a-2019-2020
345,22.09.2019,Sassuolo,3 : 0,SPAL,Завершен,italy-serie-a-2019-2020
346,21.09.2019,Milan,0 : 2,Inter,Завершен,italy-serie-a-2019-2020
347,21.09.2019,Juventus,2 : 1,Hellas Verona,Завершен,italy-serie-a-2019-2020
348,21.09.2019,Udinese,0 : 1,Brescia,Завершен,italy-serie-a-2019-2020
349,20.09.2019,Cagliari,3 : 1,Genoa,Завершен,italy-serie-a-2019-2020
350,16.09.2019,Torino,1 : 2,Lecce,Завершен,italy-serie-a-2019-2020
351,15.09.2019,Hellas Verona,0 : 1,Milan,Завершен,italy-serie-a-2019-2020
352,15.09.2019,Roma,4 : 2,Sassuolo,Завершен,italy-serie-a-2019-2020
353,15.09.2019,Brescia,3 : 4,Bologna,Завершен,italy-serie-a-2019-2020
354,15.09.2019,Parma,1 : 3,Cagliari,Завершен,italy-serie-a-2019-2020
355,15.09.2019,SPAL,2 : 1,Lazio,Завершен,italy-serie-a-2019-2020
356,15.09.2019,Genoa,1 : 2,Atalanta,Завершен,italy-serie-a-2019-2020
357,14.09.2019,Inter,1 : 0,Udinese,Завершен,italy-serie-a-2019-2020
358,14.09.2019,Napoli,2 : 0,Sampdoria,Завершен,italy-serie-a-2019-2020
359,14.09.2019,Fiorentina,0 : 0,Juventus,Завершен,italy-serie-a-2019-2020
360,01.09.2019,Atalanta,2 : 3,Torino,Завершен,italy-serie-a-2019-2020
361,01.09.2019,Cagliari,1 : 2,Inter,Завершен,italy-serie-a-2019-2020
362,01.09.2019,Genoa,2 : 1,Fiorentina,Завершен,italy-serie-a-2019-2020
363,01.09.2019,Lecce,0 : 1,Hellas Verona,Завершен,italy-serie-a-2019-2020
364,01.09.2019,Sassuolo,4 : 1,Sampdoria,Завершен,italy-serie-a-2019-2020
365,01.09.2019,Udinese,1 : 3,Parma,Завершен,italy-serie-a-2019-2020
366,01.09.2019,Lazio,1 : 1,Roma,Завершен,italy-serie-a-2019-2020
367,31.08.2019,Juventus,4 : 3,Napoli,Завершен,italy-serie-a-2019-2020
368,31.08.2019,Milan,1 : 0,Brescia,Завершен,italy-serie-a-2019-2020
369,30.08.2019,Bologna,1 : 0,SPAL,Завершен,italy-serie-a-2019-2020
370,26.08.2019,Inter,4 : 0,Lecce,Завершен,italy-serie-a-2019-2020
371,25.08.2019,Cagliari,0 : 1,Brescia,Завершен,italy-serie-a-2019-2020
372,25.08.2019,Hellas Verona,1 : 1,Bologna,Завершен,italy-serie-a-2019-2020
373,25.08.2019,Roma,3 : 3,Genoa,Завершен,italy-serie-a-2019-2020
374,25.08.2019,Sampdoria,0 : 3,Lazio,Завершен,italy-serie-a-2019-2020
375,25.08.2019,SPAL,2 : 3,Atalanta,Завершен,italy-serie-a-2019-2020
376,25.08.2019,Torino,2 : 1,Sassuolo,Завершен,italy-serie-a-2019-2020
377,25.08.2019,Udinese,1 : 0,Milan,Завершен,italy-serie-a-2019-2020
378,24.08.2019,Fiorentina,3 : 4,Napoli,Завершен,italy-serie-a-2019-2020
379,24.08.2019,Parma,0 : 1,Juventus,Завершен,italy-serie-a-2019-2020
