,Unnamed: 0,Date,Host,Result,Guest,Status,Season,Host: Average shots stvor,Guest: Average shots stvor,Host: Average corner situation,Guest: Average corner situation,Host: SCR,Guest: SCR,Host: Ball control,Guest: Ball control
30,30,23.07.2020,Lazio,2 : 1,Cagliari,Завершен,italy-serie-a-2019-2020,5.95,4.05,5.74,4.05,0.18229166666666669,0.15283842794759825,50.45,45.37
31,31,23.07.2020,Udinese,2 : 1,Juventus,Завершен,italy-serie-a-2019-2020,3.92,6.26,5.26,6.18,0.10559662090813093,0.14695077149155034,44.66,58.16
32,32,22.07.2020,Lecce,3 : 1,Brescia,Завершен,italy-serie-a-2019-2020,4.58,3.68,4.79,4.21,0.13888888888888887,0.11138613861386139,44.58,40.05
33,33,22.07.2020,Inter,0 : 0,Fiorentina,Завершен,italy-serie-a-2019-2020,6.18,5.08,6.18,5.5,0.17170891251022077,0.12404580152671756,54.21,47.53
34,34,22.07.2020,Sampdoria,1 : 2,Genoa,Завершен,italy-serie-a-2019-2020,4.66,4.13,5.13,4.37,0.11423550087873462,0.13921113689095127,42.53,49.37
35,35,22.07.2020,Torino,1 : 1,Hellas Verona,Завершен,italy-serie-a-2019-2020,3.89,4.45,4.74,5.45,0.13303769401330376,0.14134275618374556,47.45,49.68
36,36,22.07.2020,SPAL,1 : 6,Roma,Завершен,italy-serie-a-2019-2020,3.34,5.71,4.16,7.03,0.07179487179487179,0.14992503748125938,46.55,53.03
37,37,22.07.2020,Parma,2 : 1,Napoli,Завершен,italy-serie-a-2019-2020,4.11,6.21,4.39,5.84,0.15739769150052466,0.11976047904191618,43.63,59.32
38,38,21.07.2020,Sassuolo,1 : 2,Milan,Завершен,italy-serie-a-2019-2020,5.29,5.21,5.45,5.47,0.16869728209934395,0.13385826771653545,57.71,55.24
39,39,21.07.2020,Atalanta,1 : 0,Bologna,Завершен,italy-serie-a-2019-2020,7.34,4.53,6.53,6.0,0.1882693700217234,0.1269265639165911,57.63,52.87
40,40,20.07.2020,Juventus,2 : 1,Lazio,Завершен,italy-serie-a-2019-2020,6.26,5.95,6.18,5.74,0.14695077149155034,0.18229166666666669,58.16,50.45
41,41,19.07.2020,Roma,2 : 2,Inter,Завершен,italy-serie-a-2019-2020,5.71,6.18,7.03,6.18,0.14992503748125938,0.17170891251022077,53.03,54.21
42,42,19.07.2020,Genoa,2 : 1,Lecce,Завершен,italy-serie-a-2019-2020,4.13,4.58,4.37,4.79,0.13921113689095127,0.13888888888888887,49.37,44.58
43,43,19.07.2020,Brescia,2 : 1,SPAL,Завершен,italy-serie-a-2019-2020,3.68,3.34,4.21,4.16,0.11138613861386139,0.07179487179487179,40.05,46.55
44,44,19.07.2020,Fiorentina,2 : 0,Torino,Завершен,italy-serie-a-2019-2020,5.08,3.89,5.5,4.74,0.12404580152671756,0.13303769401330376,47.53,47.45
45,45,19.07.2020,Napoli,2 : 1,Udinese,Завершен,italy-serie-a-2019-2020,6.21,3.92,5.84,5.26,0.11976047904191618,0.10559662090813093,59.32,44.66
46,46,19.07.2020,Parma,2 : 3,Sampdoria,Завершен,italy-serie-a-2019-2020,4.11,4.66,4.39,5.13,0.15739769150052466,0.11423550087873462,43.63,42.53
47,47,18.07.2020,Milan,5 : 1,Bologna,Завершен,italy-serie-a-2019-2020,5.21,4.53,5.47,6.0,0.13385826771653545,0.1269265639165911,55.24,52.87
48,48,18.07.2020,Cagliari,1 : 1,Sassuolo,Завершен,italy-serie-a-2019-2020,4.05,5.29,4.05,5.45,0.15283842794759825,0.16869728209934395,45.37,57.71
49,49,18.07.2020,Hellas Verona,1 : 1,Atalanta,Завершен,italy-serie-a-2019-2020,4.45,7.34,5.45,6.53,0.14134275618374556,0.1882693700217234,49.68,57.63
